date,AUD_CLOSE,DKK_CLOSE,EUR_CLOSE,HKD_CLOSE,JPY_CLOSE,MXN_CLOSE,NZD_CLOSE,NOK_CLOSE,SEK_CLOSE,CHF_CLOSE,GBP_CLOSE,USD_CLOSE
2010-01-09,0.9523,0.1997,1.4863,0.132922,0.01113,0.08113,0.7595,0.182,0.1457,1.0074,1.6523,1.0309
2010-01-10,0.9523,0.1997,1.4863,0.132922,0.01113,0.08113,0.7595,0.182,0.1457,1.0074,1.6523,1.0309
2010-01-11,0.9626,0.2017,1.5006,0.133264,0.01122,0.08114,0.7684,0.1843,0.1471,1.0173,1.6647,1.0335
2010-01-12,0.9562,0.2024,1.506,0.134012,0.01143,0.0812,0.7675,0.1837,0.1473,1.0207,1.6805,1.0393
2010-01-13,0.9525,0.201,1.4954,0.132859,0.01127,0.08104,0.7626,0.1828,0.1468,1.012,1.6786,1.0306
2010-01-14,0.9532,0.1994,1.4838,0.131919,0.01123,0.08068,0.7598,0.1817,0.146,1.0046,1.6706,1.0234
2010-01-15,0.9507,0.1989,1.4802,0.132648,0.01133,0.08102,0.76,0.1812,0.1456,1.0027,1.6737,1.0294
2010-01-16,0.9507,0.1989,1.4802,0.132648,0.01133,0.08102,0.76,0.1812,0.1456,1.0027,1.6737,1.0294
2010-01-17,0.9507,0.1989,1.4802,0.132648,0.01133,0.08102,0.76,0.1812,0.1456,1.0027,1.6737,1.0294
2010-01-18,0.9511,0.1983,1.4761,0.132233,0.01131,0.08112,0.7587,0.1815,0.146,1.0013,1.6767,1.0265
2010-01-19,0.9533,0.1981,1.4741,0.132757,0.01131,0.08149,0.762,0.1813,0.1461,0.9986,1.6884,1.0307
2010-01-20,0.9512,0.1984,1.4766,0.134766,0.01148,0.08207,0.7536,0.1811,0.1454,1.0028,1.7051,1.047
2010-01-21,0.9484,0.1991,1.4818,0.135286,0.01163,0.08114,0.7484,0.1809,0.1452,1.0091,1.703,1.0514
2010-01-22,0.953,0.2009,1.496,0.136132,0.01177,0.0815,0.7518,0.1824,0.1461,1.016,1.7049,1.0581
2010-01-23,0.953,0.2009,1.496,0.136132,0.01177,0.0815,0.7518,0.1824,0.1461,1.016,1.7049,1.0581
2010-01-24,0.953,0.2009,1.496,0.136132,0.01177,0.0815,0.7518,0.1824,0.1461,1.016,1.7049,1.0581
2010-01-25,0.9575,0.2011,1.4976,0.136195,0.01173,0.08221,0.7558,0.1821,0.1463,1.0177,1.7184,1.0581
2010-01-26,0.9549,0.2009,1.4959,0.136649,0.01185,0.08259,0.7519,0.182,0.1459,1.0158,1.7151,1.0625
2010-01-27,0.9519,0.2005,1.4929,0.136912,0.01183,0.08208,0.7509,0.1819,0.1459,1.0139,1.7211,1.0647
